iter	Passed	Remaining
568	1310	992
569	1311	989
570	1311	985
571	1312	982
572	1314	979
573	1317	977
574	1318	974
575	1318	970
576	1319	966
577	1319	963
578	1324	963
579	1325	959
580	1325	956
581	1326	952
582	1326	949
583	1327	945
584	1327	941
585	1330	940
586	1331	937
587	1332	933
588	1332	930
589	1333	926
590	1333	923
591	1336	920
592	1336	917
593	1337	914
594	1337	910
595	1338	907
596	1338	903
597	1339	900
598	1339	896
599	1340	893
600	1341	890
601	1342	887
602	1344	885
603	1345	882
604	1346	878
605	1348	876
606	1349	873
607	1349	870
608	1367	877
609	1367	874
610	1369	871
611	1372	869
612	1373	867
613	1374	864
614	1374	860
615	1377	858
616	1380	856
617	1381	854
618	1383	851
619	1386	849
620	1388	847
621	1390	845
622	1391	841
623	1391	838
624	1392	835
625	1392	832
626	1401	833
627	1402	830
628	1406	829
629	1411	828
630	1413	826
631	1414	823
632	1415	820
633	1428	824
634	1428	821
635	1429	818
636	1431	815
637	1432	812
638	1434	810
639	1434	806
640	1435	803
641	1435	800
642	1436	797
643	1446	799
644	1446	796
645	1447	793
646	1447	790
647	1448	786
648	1449	783
649	1449	780
650	1450	777
651	1454	776
652	1454	773
653	1457	770
654	1458	768
655	1459	765
656	1460	762
657	1462	759
658	1463	757
659	1464	754
660	1464	751
661	1465	748
662	1465	744
663	1466	741
664	1466	738
665	1468	736
666	1473	735
667	1474	733
668	1475	729
669	1475	726
670	1476	723
671	1477	720
672	1508	733
673	1509	729
674	1514	729
675	1517	727
676	1518	724
677	1520	722
678	1521	719
679	1528	719
680	1529	716
681	1529	713
682	1530	710
683	1530	707
684	1548	711
685	1548	708
686	1549	705
687	1562	708
688	1563	705
689	1564	702
690	1564	699
691	1565	696
692	1568	694
693	1568	691
694	1570	689
695	1571	686
696	1574	684
697	1575	681
698	1576	678
699	1577	675
700	1577	672
701	1578	670
702	1579	667
703	1580	664
704	1580	661
705	1582	658
706	1583	656
707	1584	653
708	1585	650
709	1587	648
710	1588	645
711	1589	642
712	1591	640
713	1592	637
714	1592	634
715	1593	632
716	1598	630
717	1600	628
718	1601	625
719	1601	622
720	1602	620
721	1603	617
722	1612	617
723	1613	615
724	1614	612
725	1614	609
726	1615	606
727	1616	603
728	1616	600
729	1617	598
730	1619	595
731	1619	593
732	1620	590
733	1621	587
734	1622	584
735	1622	582
736	1623	579
737	1623	576
738	1624	573
739	1624	570
740	1625	568
741	1626	565
742	1626	562
